# VLTI horizon file: computed by amerand@eso.org, Thu Nov  2 15:12:27 2017
# Azimuth convention: 0deg is South, 90deg is East
# http://www.eso.org/sci/facilities/paranal/telescopes/ut/vltsv6.gif
# http://www.eso.org/sci/facilities/paranal/telescopes/ut/vltfv6.gif
# UT DOME HEIGHT   = 28.5 m
# UT DOME DIAMETER = 29.0 m
# UT SLIT WIDTH =  9.5 m
# UT DOOR SIZE =  5.5 m
# UT EL AXIS HEIGHT= 13.0 m
# UT M1 HEIGHT     = 10.0 m
# UT M1 DIAMETER   =  8.2 m
# AT EL AXIS HEIGHT=  4.7 m
# AT M1 HEIGHT     =  4.0 m
# AT M1 DIAMETER   =  1.8 m
# az    A0    A1    B0    B1    B2    B3    B4    B5    C0    C1    C2    C3    D0    D1    D2    E0    G0    G1    G2    H0    I1    I2    J1    J2    J3    J4    J5    J6    K0    L0    M0    U1    U2    U3    U4    VS
  0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 52.17  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  0.5  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 52.17  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  1.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 51.89  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  1.5  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 51.51  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  2.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 51.13  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  2.5  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 50.75  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  3.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 50.36  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  3.5  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 49.88  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  4.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 49.40  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
  4.5  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 48.92  0.00  0.00  0.00  0.00  0.00  0.00  0.00 60.11
